Time	LEyePos3dx	LEyePos3dy	LEyePos3dz	LEyePos3dRelx	LEyePos3dRely	LEyePos3dRelz	LGazePos2dx	LGazePos2dy	LGazePos3dx	LGazePos3dy	LGazePos3dz	LPupilDm	LValidity	REyePos3dx	REyePos3dy	REyePos3dz	REyePos3dRelx	REyePos3dRely	REyePos3dRelz	RGazePos2dx	RGazePos2dy	RGazePos3dx	RGazePos3dy	RGazePos3dz	RPupilDm	RValidity	RelTimestamp
2652676478	63.9743	-10.4431	628.2594	0.3240	0.5660	0.5942	0.5025	0.5226	1.2879	164.5236	53.1405	3.9643	0	110.0036	-13.5119	641.8357	0.1779	0.5824	0.6395	0.4852	0.5049	-7.5941	169.2727	55.0659	3.6344	0	0.0000
2652679818	63.9613	-10.4654	628.4528	0.3241	0.5661	0.5948	0.4994	0.5307	-0.3088	162.3358	52.2535	3.9749	0	110.0046	-13.5234	642.1343	0.1781	0.5825	0.6404	0.4779	0.5349	-11.3383	161.2219	51.8019	3.6579	0	3.3400
2652683173	63.9403	-10.4887	628.6962	0.3242	0.5662	0.5957	0.5028	0.5574	1.4622	155.1734	49.3496	4.0720	0	109.9613	-13.5255	642.0299	0.1782	0.5825	0.6401	0.4833	0.5466	-8.5798	158.0616	50.5206	3.6682	0	6.6950
2652686537	63.9036	-10.5061	628.6999	0.3244	0.5663	0.5957	0.4986	0.5217	-0.7128	164.7563	53.2348	3.9591	0	110.1097	-13.5705	643.7948	0.1784	0.5826	0.6460	0.4874	0.5108	-6.4599	167.6816	54.4208	3.6524	0	10.0590
2652689798	63.8865	-10.5296	628.8601	0.3245	0.5665	0.5962	0.5013	0.5524	0.6635	156.5195	49.8954	4.0421	0	109.9626	-13.5595	642.9188	0.1785	0.5826	0.6431	0.4885	0.5752	-5.9255	150.3937	47.4117	3.8266	0	13.3200
2652693142	63.8509	-10.5517	628.9986	0.3246	0.5666	0.5967	0.5084	0.5110	4.2952	167.6407	54.4043	4.0001	0	109.8040	-13.5454	641.8277	0.1786	0.5826	0.6394	0.4857	0.5231	-7.3504	164.3816	53.0829	3.6973	0	16.6640
2652696506	63.8263	-10.5747	629.1918	0.3247	0.5667	0.5973	0.5032	0.5531	1.6557	156.3140	49.8120	4.0457	0	110.1494	-13.6203	645.2830	0.1790	0.5827	0.6509	0.4818	0.5226	-9.3410	164.5092	53.1346	3.7219	0	20.0280
2652699864	63.7969	-10.5945	629.3395	0.3249	0.5668	0.5978	0.5009	0.5490	0.4726	157.4138	50.2579	4.0482	0	110.2510	-13.6566	646.7254	0.1792	0.5827	0.6558	0.4995	0.4964	-0.2503	171.5445	55.9870	3.6746	0	23.3860
2652703123	63.7511	-10.6153	629.4181	0.3251	0.5669	0.5981	0.5062	0.5553	3.1742	155.7337	49.5768	4.0265	0	109.7392	-13.5840	642.5837	0.1791	0.5828	0.6419	0.4816	0.5688	-9.4386	152.0936	48.1009	3.7809	0	26.6450
2652706467	63.7144	-10.6352	629.5362	0.3252	0.5670	0.5985	0.5024	0.5374	1.2293	160.5347	51.5232	3.9997	0	109.7276	-13.5915	642.8295	0.1793	0.5828	0.6428	0.4879	0.5684	-6.2090	152.2111	48.1486	3.7786	0	29.9890
2652709827	63.6926	-10.6539	629.7931	0.3253	0.5671	0.5993	0.4970	0.5387	-1.5376	160.1959	51.3859	4.0657	0	109.9450	-13.6498	645.3340	0.1796	0.5828	0.6511	0.4871	0.4742	-6.6420	177.5094	58.4054	3.6369	0	33.3490
2652713186	63.6535	-10.6736	629.9644	0.3255	0.5672	0.5999	0.5004	0.5511	0.2183	156.8671	50.0363	4.0409	0	109.5333	-13.5944	642.2188	0.1796	0.5829	0.6407	0.4819	0.5355	-9.2761	161.0378	51.7272	3.7187	0	36.7080
2652716450	63.6050	-10.6891	630.0652	0.3257	0.5673	0.6002	0.5055	0.5463	2.8400	158.1596	50.5603	4.0876	0	109.7145	-13.6401	644.2124	0.1799	0.5829	0.6474	0.4736	0.4962	-13.5823	171.6114	56.0141	3.6239	0	39.9720
2652719789	63.5640	-10.7022	630.2065	0.3259	0.5673	0.6007	0.5022	0.5396	1.1383	159.9604	51.2904	4.0247	0	109.7672	-13.6684	645.2842	0.1802	0.5829	0.6509	0.4837	0.4790	-8.3587	176.2355	57.8889	3.5641	0	43.3110
2652723164	63.5227	-10.7221	630.4364	0.3261	0.5674	0.6015	0.5011	0.5284	0.5531	162.9496	52.5023	4.0128	0	109.4871	-13.6332	643.3559	0.1803	0.5830	0.6445	0.4856	0.5361	-7.3856	160.8833	51.6646	3.6970	0	46.6860
2652726508	63.4748	-10.7359	630.5023	0.3262	0.5675	0.6017	0.4953	0.5049	-2.4061	169.2691	55.0645	3.9829	0	109.5202	-13.6540	644.1081	0.1805	0.5830	0.6470	0.4817	0.4956	-9.3868	171.7612	56.0748	3.5877	0	50.0300
2652729874	63.4342	-10.7501	630.7153	0.3264	0.5676	0.6024	0.4985	0.5414	-0.7836	159.4657	51.0898	4.0496	0	109.6361	-13.6969	645.8039	0.1808	0.5830	0.6527	0.4871	0.4867	-6.6129	174.1708	57.0518	3.6244	0	53.3960
2652733132	63.3796	-10.7616	630.8326	0.3266	0.5676	0.6028	0.5012	0.5527	0.6010	156.4380	49.8623	4.0762	0	109.4046	-13.6641	644.3013	0.1810	0.5830	0.6477	0.4859	0.4975	-7.2229	171.2530	55.8688	3.5978	0	56.6540
2652736479	63.3260	-10.7739	630.9829	0.3269	0.5677	0.6033	0.4977	0.5407	-1.1933	159.6443	51.1622	4.0072	0	109.7379	-13.7428	647.8353	0.1814	0.5831	0.6595	0.4808	0.5368	-9.8795	160.6928	51.5874	3.7149	0	60.0010
2652739838	63.2796	-10.7838	631.1522	0.3271	0.5677	0.6038	0.4968	0.5158	-1.6528	166.3378	53.8760	3.9895	0	109.2802	-13.6739	644.4023	0.1814	0.5831	0.6480	0.4903	0.4960	-4.9727	171.6633	56.0351	3.6062	0	63.3600
2652743191	63.2360	-10.7966	631.3956	0.3273	0.5678	0.6047	0.4991	0.5466	-0.4524	158.0599	50.5199	4.0679	0	109.2712	-13.6814	644.8717	0.1816	0.5831	0.6496	0.4845	0.5359	-7.9558	160.9400	51.6876	3.6889	0	66.7130
2652746461	63.1697	-10.7999	631.4096	0.3275	0.5678	0.6047	0.4993	0.5283	-0.3750	162.9851	52.5167	4.0332	0	109.4710	-13.7379	647.3418	0.1820	0.5831	0.6578	0.4857	0.5375	-7.3333	160.5074	51.5122	3.7319	0	69.9830
2652749797	63.1257	-10.8149	631.7018	0.3277	0.5679	0.6057	0.5020	0.5314	1.0057	162.1500	52.1781	4.0004	0	109.1656	-13.6911	645.2214	0.1821	0.5831	0.6507	0.4957	0.5124	-2.2005	167.2487	54.2453	3.6364	0	73.3190
2652753163	63.0714	-10.8149	631.7913	0.3279	0.5678	0.6060	0.5011	0.5494	0.5764	157.3199	50.2198	4.0768	0	109.4798	-13.7603	648.6365	0.1825	0.5831	0.6621	0.4945	0.5143	-2.8330	166.7514	54.0437	3.6888	0	76.6850
2652756526	63.0091	-10.8216	631.9547	0.3282	0.5679	0.6065	0.5023	0.5422	1.1900	159.2389	50.9979	4.0993	0	109.0125	-13.6859	645.1673	0.1826	0.5831	0.6506	0.4937	0.5241	-3.2612	164.1054	52.9709	3.6667	0	80.0480
2652759778	62.9582	-10.8254	632.0684	0.3284	0.5679	0.6069	0.4996	0.5518	-0.2156	156.6625	49.9533	4.1132	0	109.3124	-13.7507	648.4727	0.1830	0.5830	0.6616	0.4776	0.5317	-11.5334	162.0710	52.1461	3.7606	0	83.3000
2652763129	62.8969	-10.8282	632.2670	0.3286	0.5679	0.6076	0.5004	0.5527	0.2016	156.4255	49.8573	4.0992	0	109.0956	-13.7227	647.2144	0.1832	0.5830	0.6574	0.4889	0.5001	-5.6909	170.5500	55.5838	3.6940	0	86.6510
2652766487	62.8326	-10.8298	632.2980	0.3288	0.5679	0.6077	0.4991	0.5435	-0.4390	158.8962	50.8589	4.0774	0	108.8838	-13.6875	645.9113	0.1833	0.5830	0.6530	0.4733	0.5403	-13.7330	159.7645	51.2110	3.7660	0	90.0090
2652769841	62.7896	-10.8328	632.6339	0.3291	0.5679	0.6088	0.4995	0.5402	-0.2734	159.7788	51.2168	4.0950	0	109.1090	-13.7416	648.7236	0.1838	0.5830	0.6624	0.4971	0.4285	-1.4770	189.8010	63.3888	3.5201	0	93.3630
2652773091	62.7152	-10.8267	632.6205	0.3293	0.5678	0.6087	0.4951	0.5197	-2.5342	165.3029	53.4564	4.0247	0	108.6242	-13.6561	644.9450	0.1838	0.5829	0.6498	0.4837	0.5347	-8.3707	161.2528	51.8144	3.7691	0	96.6130
2652776441	62.6664	-10.8280	632.8802	0.3295	0.5678	0.6096	0.5007	0.5199	0.3488	165.2473	53.4339	4.0339	0	109.2205	-13.7718	651.0329	0.1844	0.5829	0.6701	0.4729	0.5254	-13.9045	163.7694	52.8347	3.7807	0	99.9630
2652779811	62.6067	-10.8212	633.0031	0.3298	0.5678	0.6100	0.5020	0.5324	1.0339	161.8835	52.0701	4.0791	0	108.4601	-13.6403	644.8725	0.1843	0.5828	0.6496	0.4828	0.5455	-8.8597	158.3562	50.6400	3.7615	0	103.3330
2652783175	62.5404	-10.8181	633.1340	0.3300	0.5677	0.6104	0.5036	0.5435	1.8426	158.8898	50.8564	4.0902	0	108.9127	-13.7217	649.6370	0.1848	0.5827	0.6655	0.4892	0.4683	-5.5290	179.0946	59.0481	3.6357	0	106.6970
2652786416	62.4855	-10.8155	633.3561	0.3302	0.5677	0.6112	0.4998	0.5447	-0.0876	158.5834	50.7321	4.0915	0	108.4930	-13.6486	646.5726	0.1849	0.5827	0.6552	0.4860	0.5307	-7.2125	162.3313	52.2516	3.7315	0	109.9380
2652789777	62.4189	-10.8040	633.4343	0.3305	0.5676	0.6114	0.5070	0.4768	3.6134	176.8120	58.1226	3.9261	0	108.6457	-13.6697	648.6090	0.1852	0.5826	0.6620	0.4913	0.5065	-4.4852	168.8564	54.8972	3.6631	0	113.2990
2652793138	62.3647	-10.7996	633.6818	0.3307	0.5676	0.6123	0.5025	0.5429	1.2966	159.0572	50.9242	4.1097	0	108.5729	-13.6567	648.6801	0.1855	0.5825	0.6623	0.4766	0.5355	-12.0210	161.0581	51.7355	3.7543	0	116.6600
2652796494	62.2952	-10.7884	633.7450	0.3310	0.5675	0.6125	0.5013	0.5241	0.6742	164.1259	52.9793	4.0458	0	108.5686	-13.6525	649.3633	0.1858	0.5824	0.6645	0.4881	0.5326	-6.1261	161.8257	52.0467	3.7322	0	120.0160
2652799857	62.2370	-10.7777	633.9898	0.3312	0.5674	0.6133	0.4941	0.5264	-3.0168	163.4981	52.7247	4.0410	0	108.2787	-13.5875	647.3811	0.1859	0.5822	0.6579	0.4805	0.5650	-10.0073	153.1116	48.5137	3.7734	0	123.3790
2652803112	62.1764	-10.7683	634.0968	0.3314	0.5673	0.6137	0.4987	0.5202	-0.6507	165.1535	53.3958	4.0132	0	108.1764	-13.5662	647.1817	0.1861	0.5821	0.6573	0.4796	0.5606	-10.4854	154.3072	48.9984	3.7823	0	126.6340
2652806466	62.1085	-10.7571	634.2705	0.3317	0.5673	0.6142	0.5003	0.5263	0.1625	163.5237	52.7351	4.0728	0	108.3938	-13.6096	649.9500	0.1866	0.5821	0.6665	0.4924	0.5339	-3.8811	161.4703	51.9026	3.7869	0	129.9880
2652809822	62.0568	-10.7444	634.5038	0.3319	0.5672	0.6150	0.5107	0.4473	5.5169	184.7512	61.3414	3.8102	0	107.8548	-13.5061	645.6888	0.1866	0.5820	0.6523	0.4849	0.5700	-7.7475	151.7811	47.9743	3.8279	0	133.3440
2652813182	61.9850	-10.7324	634.5415	0.3322	0.5671	0.6151	0.5053	0.4755	2.7159	177.1778	58.2709	3.8926	0	108.4505	-13.6112	651.8519	0.1872	0.5818	0.6728	0.4831	0.5044	-8.6853	169.3987	55.1170	3.6965	0	136.7040
2652816427	61.9237	-10.7190	634.7803	0.3324	0.5670	0.6159	0.5025	0.4792	1.3070	176.1769	57.8651	3.9592	0	107.8125	-13.4911	646.7448	0.1871	0.5818	0.6558	0.4770	0.5313	-11.8021	162.1894	52.1941	3.7287	0	139.9490
2652819787	61.8635	-10.7004	634.8965	0.3327	0.5669	0.6163	0.5022	0.5181	1.1523	165.7170	53.6243	4.0821	0	108.2329	-13.5537	651.2956	0.1877	0.5816	0.6710	0.4772	0.4860	-11.7209	174.3624	57.1294	3.7087	0	143.3090
2652823156	61.7993	-10.6851	635.0329	0.3329	0.5668	0.6168	0.5034	0.4546	1.7400	182.7884	60.5456	3.9100	0	107.9798	-13.5001	649.6931	0.1878	0.5815	0.6656	0.4801	0.5353	-10.2385	161.1053	51.7546	3.7728	0	146.6780
