Time	LEyePos3dx	LEyePos3dy	LEyePos3dz	LEyePos3dRelx	LEyePos3dRely	LEyePos3dRelz	LGazePos2dx	LGazePos2dy	LGazePos3dx	LGazePos3dy	LGazePos3dz	LPupilDm	LValidity	REyePos3dx	REyePos3dy	REyePos3dz	REyePos3dRelx	REyePos3dRely	REyePos3dRelz	RGazePos2dx	RGazePos2dy	RGazePos3dx	RGazePos3dy	RGazePos3dz	RPupilDm	RValidity	RelTimestamp
7284782021	2.1821	-12.0929	657.7310	0.5366	0.5617	0.6924	0.4067	0.5377	-47.9613	160.4547	51.4908	4.4308	0	46.4833	-13.9595	650.7732	0.3951	0.5732	0.6692	0.4207	0.5708	-40.7449	151.5585	47.8840	4.3033	0	0.0000
7284785376	2.1740	-12.0813	657.7550	0.5367	0.5616	0.6925	0.4064	0.5297	-48.0910	162.6228	52.3698	4.4590	0	46.4807	-13.9434	650.8102	0.3951	0.5731	0.6694	0.4323	0.5592	-34.7762	154.6871	49.1524	4.2951	0	3.3550
7284788624	2.1675	-12.0681	657.7678	0.5367	0.5615	0.6926	0.4070	0.5388	-47.7847	160.1546	51.3691	4.4187	0	46.4775	-13.9276	650.8364	0.3951	0.5730	0.6695	0.4285	0.5617	-36.7601	154.0237	48.8835	4.3134	0	6.6030
7284791982	2.1608	-12.0580	657.8139	0.5367	0.5615	0.6927	0.4064	0.5455	-48.0951	158.3671	50.6444	4.4449	0	46.4717	-13.9099	650.8547	0.3951	0.5729	0.6695	0.4240	0.5690	-39.0661	152.0519	48.0840	4.3315	0	9.9610
7284795341	2.1526	-12.0485	657.8589	0.5367	0.5614	0.6929	0.4103	0.5336	-46.0641	161.5731	51.9442	4.4534	0	46.4661	-13.8945	650.8878	0.3952	0.5729	0.6696	0.4253	0.5748	-38.3642	150.4952	47.4529	4.3416	0	13.3200
7284798703	2.1493	-12.0361	657.8777	0.5367	0.5613	0.6929	0.4071	0.5313	-47.7200	162.1746	52.1881	4.4709	0	46.4660	-13.8786	650.9296	0.3952	0.5728	0.6698	0.4253	0.5746	-38.4038	150.5436	47.4725	4.3259	0	16.6820
7284801951	2.1567	-12.0189	657.8623	0.5367	0.5612	0.6929	0.4092	0.5314	-46.6781	162.1441	52.1757	4.4568	0	46.4690	-13.8553	650.9478	0.3952	0.5726	0.6698	0.4339	0.5696	-33.9518	151.8881	48.0176	4.3190	0	19.9300
7284805301	2.1768	-11.9966	657.9108	0.5367	0.5611	0.6930	0.4169	0.5212	-42.6818	164.8983	53.2924	4.4548	0	46.4799	-13.8255	650.9760	0.3951	0.5724	0.6699	0.4396	0.5646	-31.0139	153.2453	48.5679	4.3377	0	23.2800
7284808668	2.2013	-11.9742	657.9125	0.5366	0.5610	0.6930	0.4264	0.5228	-37.8284	164.4524	53.1116	4.4937	0	46.4971	-13.7981	651.0282	0.3951	0.5723	0.6701	0.4548	0.5518	-23.2317	156.6802	49.9605	4.3378	0	26.6470
7284812030	2.2200	-11.9587	657.9875	0.5365	0.5609	0.6933	0.4348	0.5075	-33.4986	168.5738	54.7826	4.4541	0	46.5133	-13.7711	651.0990	0.3950	0.5721	0.6703	0.4689	0.5406	-15.9624	159.6902	51.1809	4.3377	0	30.0090
7284815294	2.2358	-11.9419	658.0072	0.5365	0.5608	0.6934	0.4479	0.4784	-26.7853	176.3902	57.9516	4.4237	0	46.5221	-13.7449	651.1075	0.3950	0.5720	0.6704	0.4778	0.5362	-11.3840	160.8507	51.6514	4.3018	0	33.2730
7284818634	2.2483	-11.9266	658.0557	0.5364	0.5607	0.6935	0.4435	0.4935	-29.0515	172.3483	56.3129	4.4570	0	46.5299	-13.7230	651.1628	0.3950	0.5718	0.6705	0.4707	0.5275	-15.0497	163.1934	52.6012	4.3086	0	36.6130
7284821998	2.2534	-11.9160	658.0747	0.5364	0.5606	0.6936	0.4417	0.4880	-29.9799	173.8188	56.9091	4.4718	0	46.5294	-13.7028	651.1994	0.3950	0.5717	0.6707	0.4746	0.5251	-13.0369	163.8350	52.8613	4.3051	0	39.9770
7284825353	2.2542	-11.9038	658.0684	0.5364	0.5606	0.6936	0.4429	0.5003	-29.3436	170.5129	55.5688	4.4648	0	46.5280	-13.6855	651.2441	0.3950	0.5716	0.6708	0.4696	0.5245	-15.6049	164.0000	52.9282	4.2807	0	43.3320
7284828714	2.2502	-11.8978	658.0941	0.5364	0.5605	0.6936	0.4416	0.4954	-29.9941	171.8329	56.1039	4.4515	0	46.5209	-13.6747	651.2667	0.3950	0.5716	0.6709	0.4736	0.5214	-13.5882	164.8369	53.2675	4.2934	0	46.6930
7284831978	2.2412	-11.8950	658.1016	0.5365	0.5605	0.6937	0.4452	0.4938	-28.1357	172.2618	56.2778	4.4564	0	46.5136	-13.6679	651.2847	0.3951	0.5715	0.6709	0.4692	0.5287	-15.8119	162.8766	52.4727	4.3163	0	49.9570
7284835322	2.2326	-11.8914	658.0927	0.5365	0.5605	0.6936	0.4478	0.4998	-26.8302	170.6492	55.6240	4.4596	0	46.5053	-13.6616	651.2980	0.3951	0.5715	0.6710	0.4775	0.5243	-11.5522	164.0716	52.9572	4.3074	0	53.3010
7284838679	2.2211	-11.8883	658.1315	0.5365	0.5605	0.6938	0.4491	0.4959	-26.1369	171.6826	56.0430	4.4617	0	46.4972	-13.6518	651.3230	0.3951	0.5714	0.6711	0.4760	0.5229	-12.3151	164.4324	53.1035	4.3020	0	56.6580
