Time	LEyePos3dx	LEyePos3dy	LEyePos3dz	LEyePos3dRelx	LEyePos3dRely	LEyePos3dRelz	LGazePos2dx	LGazePos2dy	LGazePos3dx	LGazePos3dy	LGazePos3dz	LPupilDm	LValidity	REyePos3dx	REyePos3dy	REyePos3dz	REyePos3dRelx	REyePos3dRely	REyePos3dRelz	RGazePos2dx	RGazePos2dy	RGazePos3dx	RGazePos3dy	RGazePos3dz	RPupilDm	RValidity	RelTimestamp
7141497809	-21.7954	-2.1030	645.9248	0.6133	0.5054	0.6531	0.4838	0.5401	-8.3470	159.8095	51.2292	4.4538	0	22.7051	1.1317	641.6479	0.4700	0.4871	0.6388	0.5168	0.5579	8.6187	155.0310	49.2918	4.2863	0	0.0000
7141501164	-21.7684	-2.1093	645.9517	0.6132	0.5054	0.6532	0.4792	0.5297	-10.6831	162.6102	52.3647	4.4776	0	22.7330	1.1352	641.7561	0.4699	0.4871	0.6392	0.5132	0.5379	6.7627	160.4146	51.4746	4.3142	0	3.3550
7141504440	-21.7413	-2.1151	645.9941	0.6131	0.5054	0.6533	0.4837	0.5308	-8.3948	162.3012	52.2395	4.4987	0	22.7681	1.1368	641.8474	0.4698	0.4870	0.6395	0.5134	0.5381	6.8609	160.3451	51.4464	4.3099	0	6.6310
7141507782	-21.7145	-2.1229	646.0511	0.6130	0.5055	0.6535	0.4854	0.5240	-7.4850	164.1330	52.9821	4.4814	0	22.8074	1.1382	641.9566	0.4697	0.4870	0.6399	0.5122	0.5398	6.2803	159.9051	51.2680	4.3073	0	9.9730
7141511131	-21.6888	-2.1295	646.0926	0.6129	0.5055	0.6536	0.4840	0.5264	-8.2209	163.4928	52.7225	4.4500	0	22.8390	1.1409	641.9993	0.4696	0.4870	0.6400	0.5190	0.5348	9.7473	161.2502	51.8133	4.3355	0	13.3220
7141514476	-21.6647	-2.1343	646.1445	0.6128	0.5056	0.6538	0.4908	0.5328	-4.7412	161.7788	52.0277	4.4832	0	22.8663	1.1434	642.0412	0.4695	0.4870	0.6401	0.5163	0.5378	8.3605	160.4266	51.4794	4.3083	0	16.6670
7141517851	-21.6398	-2.1374	646.1520	0.6127	0.5056	0.6538	0.4879	0.5323	-6.2318	161.9054	52.0790	4.4660	0	22.8957	1.1478	642.1478	0.4694	0.4870	0.6405	0.5175	0.5334	9.0088	161.6022	51.9560	4.3159	0	20.0420
7141521125	-21.6194	-2.1388	646.1929	0.6127	0.5056	0.6540	0.4871	0.5264	-6.6227	163.4982	52.7247	4.4809	0	22.9244	1.1532	642.2617	0.4693	0.4870	0.6409	0.5163	0.5401	8.3581	159.8245	51.2353	4.3407	0	23.3160
7141524453	-21.5995	-2.1382	646.2459	0.6126	0.5056	0.6542	0.4866	0.5325	-6.8987	161.8567	52.0592	4.4716	0	22.9531	1.1589	642.3839	0.4692	0.4869	0.6413	0.5182	0.5409	9.3630	159.5919	51.1410	4.3020	0	26.6440
7141527814	-21.5796	-2.1365	646.2992	0.6125	0.5056	0.6543	0.4929	0.5302	-3.6517	162.4819	52.3127	4.4515	0	22.9768	1.1649	642.4375	0.4692	0.4869	0.6415	0.5154	0.5336	7.9052	161.5543	51.9366	4.3329	0	30.0050
7141531175	-21.5600	-2.1338	646.3307	0.6125	0.5055	0.6544	0.4848	0.5306	-7.7959	162.3759	52.2697	4.4742	0	23.0003	1.1764	642.4695	0.4691	0.4868	0.6416	0.5156	0.5399	7.9939	159.8657	51.2520	4.3245	0	33.3660
7141534441	-21.5403	-2.1289	646.3748	0.6124	0.5055	0.6546	0.4902	0.5345	-5.0310	161.3227	51.8427	4.4675	0	23.0254	1.1867	642.5369	0.4690	0.4868	0.6418	0.5111	0.5378	5.7023	160.4315	51.4814	4.3279	0	36.6320
7141537782	-21.5208	-2.1238	646.3961	0.6123	0.5055	0.6547	0.4905	0.5346	-4.8821	161.2852	51.8275	4.4497	0	23.0486	1.1984	642.5888	0.4690	0.4867	0.6420	0.5195	0.5367	10.0208	160.7391	51.6061	4.3149	0	39.9730
7141541136	-21.4998	-2.1179	646.4527	0.6123	0.5055	0.6548	0.4913	0.5294	-4.4878	162.6870	52.3959	4.4639	0	23.0768	1.2105	642.6986	0.4689	0.4866	0.6423	0.5141	0.5402	7.2594	159.7986	51.2248	4.3077	0	43.3270
7141544499	-21.4797	-2.1115	646.4859	0.6122	0.5054	0.6550	0.4916	0.5265	-4.3128	163.4733	52.7147	4.4577	0	23.1001	1.2271	642.7471	0.4688	0.4865	0.6425	0.5201	0.5412	10.3019	159.5196	51.1117	4.3243	0	46.6900
7141547750	-21.4592	-2.1047	646.5259	0.6121	0.5054	0.6551	0.4897	0.5330	-5.3012	161.7138	52.0013	4.4729	0	23.1290	1.2427	642.8473	0.4687	0.4865	0.6428	0.5132	0.5416	6.7647	159.4019	51.0640	4.3120	0	49.9410
7141551092	-21.4357	-2.0952	646.5438	0.6121	0.5053	0.6551	0.4910	0.5311	-4.6379	162.2211	52.2069	4.4818	0	23.1585	1.2582	642.9683	0.4686	0.4864	0.6432	0.5128	0.5435	6.5631	158.9023	50.8614	4.3097	0	53.2830
7141554466	-21.4134	-2.0871	646.5374	0.6120	0.5053	0.6551	0.4902	0.5233	-5.0281	164.3353	53.0641	4.4886	0	23.1827	1.2730	643.0146	0.4686	0.4863	0.6434	0.5085	0.5430	4.3726	159.0433	50.9186	4.3162	0	56.6570
7141557828	-21.3934	-2.0775	646.6226	0.6119	0.5052	0.6554	0.4903	0.5288	-4.9695	162.8524	52.4629	4.4495	0	23.2066	1.2867	643.0567	0.4685	0.4862	0.6435	0.5112	0.5336	5.7778	161.5534	51.9362	4.3215	0	60.0190
7141561100	-21.3732	-2.0673	646.6545	0.6119	0.5052	0.6555	0.4910	0.5303	-4.6283	162.4578	52.3029	4.4695	0	23.2371	1.3004	643.2055	0.4684	0.4861	0.6440	0.5145	0.5343	7.4475	161.3745	51.8637	4.3133	0	63.2910
7141564447	-21.3512	-2.0572	646.6526	0.6118	0.5051	0.6555	0.4921	0.5276	-4.0495	163.1816	52.5964	4.4719	0	23.2643	1.3139	643.2710	0.4683	0.4860	0.6442	0.5113	0.5459	5.7940	158.2652	50.6031	4.3327	0	66.6380
7141567793	-21.3310	-2.0466	646.6789	0.6117	0.5050	0.6556	0.4923	0.5307	-3.9540	162.3459	52.2576	4.4664	0	23.2869	1.3286	643.3130	0.4683	0.4860	0.6444	0.5171	0.5429	8.7840	159.0503	50.9214	4.3473	0	69.9840
7141571151	-21.3115	-2.0362	646.6601	0.6117	0.5050	0.6555	0.4908	0.5332	-4.7308	161.6685	51.9829	4.4565	0	23.3081	1.3426	643.3666	0.4682	0.4859	0.6446	0.5170	0.5394	8.7579	159.9993	51.3062	4.3468	0	73.3420
7141574511	-21.2953	-2.0257	646.7372	0.6116	0.5049	0.6558	0.4919	0.5241	-4.1460	164.1204	52.9770	4.4638	0	23.3272	1.3572	643.4049	0.4681	0.4858	0.6447	0.5119	0.5355	6.1396	161.0630	51.7374	4.3292	0	76.7020
7141577786	-21.2762	-2.0153	646.7264	0.6115	0.5049	0.6558	0.4933	0.5286	-3.4323	162.9173	52.4892	4.4796	0	23.3435	1.3741	643.4210	0.4681	0.4857	0.6447	0.5162	0.5346	8.3089	161.2855	51.8276	4.3145	0	79.9770
7141581115	-21.2573	-2.0043	646.7564	0.6115	0.5048	0.6559	0.4909	0.5242	-4.6785	164.0928	52.9658	4.4880	0	23.3654	1.3911	643.4699	0.4680	0.4856	0.6449	0.5142	0.5423	7.2778	159.2250	50.9922	4.3315	0	83.3060
